"","TCGA.B0.5701.01A.11R.1541.07","TCGA.D3.A2JP.06A.11R.A18S.07","TCGA.D3.A3MV.06A.11R.A21D.07","TCGA.D3.A8GB.06A.11R.A37K.07","TCGA.DA.A3F2.06A.11R.A20F.07","TCGA.EB.A5KH.06A.11R.A27Q.07","TCGA.EB.A5SH.06A.11R.A311.07","TCGA.EB.A6QY.01A.12R.A32P.07","TCGA.EE.A2GS.06A.12R.A18S.07","TCGA.EE.A3JI.06A.11R.A21D.07","TCGA.ER.A19M.06A.61R.A239.07","TCGA.FR.A3YN.06A.11R.A239.07","TCGA.FR.A44A.06A.11R.A24X.07","TCGA.FR.A7U8.06A.21R.A352.07","TCGA.FW.A3R5.06A.11R.A239.07","TCGA.FW.A3TV.06A.11R.A239.07","TCGA.GF.A3OT.06A.23R.A239.07","TCGA.GN.A4U3.06A.11R.A32P.07","TCGA.GN.A4U4.06A.11R.A32P.07","TCGA.GN.A4U5.01A.11R.A32P.07","TCGA.GN.A4U9.06A.11R.A32P.07","TCGA.GN.A8LN.01A.11R.A37K.07","TCGA.HR.A2OH.06A.11R.A18U.07","TCGA.QB.AA9O.06A.11R.A39D.07","TCGA.W3.A825.06A.11R.A352.07","TCGA.W3.AA1Q.06A.11R.A38C.07","TCGA.W3.AA1R.06A.11R.A39D.07","TCGA.W3.AA1W.06A.11R.A38C.07","TCGA.WE.AAA0.06A.11R.A38C.07","TCGA.YG.AA3O.06A.11R.A38C.07"
"ENSG00000132386.11",1022,64683,3945,10935,32818,41762,83075,1872,45312,20755,7643,1871,32692,9203,4523,8267,4181,255,9138,35835,246,1571,2640,19774,2157,155240,771,22697,41799,4053
"ENSG00000133110.15",509,66252,35661,5708,14853,2097,2437,4902,46272,9141,28149,3605,34559,4544,29866,18126,73137,603,917,20449,5946,102559,3270,622,76673,15985,1388,3253,2561,13243
"ENSG00000134871.19",38684,18665,86986,19653,24800,48289,10896,6407,36183,4842,22204,3983,29136,15136,19546,24761,40722,4962,26871,17380,46690,6263,10777,9276,62412,6118,3676,4908,38412,15566
"ENSG00000135046.14",7361,9465,23716,12017,1446,13658,300,15934,5583,78643,9507,20875,24876,10245,15644,10914,31824,9464,29551,28023,1200,9220,7909,6129,28277,19392,976,8819,27842,1964
"ENSG00000135744.8",17968,99,53,2584,261,255,150,29,274,9,20,98,1249,74,132,59,10,51,395,11,21,60,5,300,570,11,30,4,21,11
"ENSG00000135862.6",18882,13134,124267,10619,7442,8317,14097,11351,61045,15616,26287,20831,12453,17900,21015,68487,103684,6568,30771,22523,23849,21847,12165,1548,33008,16914,14139,13372,15728,16850
"ENSG00000137801.11",10672,6542,20956,11058,1312,1119,424,2768,5097,1559,13224,2013,3251,1855,8188,7347,9838,8421,2122,2765,2984,5272,5072,1042,11624,3108,2308,2837,3142,6259
"ENSG00000138080.14",246,19315,41410,7896,17365,14806,6248,1759,45944,774,4154,5722,12048,5173,2768,2710,13748,302,4139,9362,14626,1180,4837,6133,18744,1746,800,2649,6965,2765
"ENSG00000138279.16",4843,2884,3089,2309,1570,1443,981,4218,2463,3402,4496,3519,5052,1550,5631,4313,3834,2601,4280,3499,1748,3159,3695,2462,1881,2525,6313,5303,5494,3645
"ENSG00000138615.6",77,64,24,1325,3180,333,42,19,1405,54,1271,33,254,36,2139,57,288,16,64,76,39,71,23,99,1382,25,28,15,227,118
"ENSG00000138722.10",372,51,21,310,127,26,44,141,71,33,32,77,143,0,322,126,13,40,201,62,3777,30,15,3,94,13,11,32,325,48
"ENSG00000138829.12",86,559,973,99,31,188,309,192,560,36,353,137,234,50,135,260,18386,216,104,154,12911,1257,736,12,2028,41,39,115,161,83
"ENSG00000139219.19",0,222,62,249,3,18,5,8,61541,4,47,47,42,15,25,463,4,17,127,31,122,58,11,32,166,19,24,10,77,28
