"","TCGA.B0.5701.01A.11R.1541.07","TCGA.D3.A2JP.06A.11R.A18S.07","TCGA.D3.A3MV.06A.11R.A21D.07","TCGA.D3.A8GB.06A.11R.A37K.07","TCGA.DA.A3F2.06A.11R.A20F.07","TCGA.EB.A5KH.06A.11R.A27Q.07","TCGA.EB.A5SH.06A.11R.A311.07","TCGA.EB.A6QY.01A.12R.A32P.07","TCGA.EE.A2GS.06A.12R.A18S.07","TCGA.EE.A3JI.06A.11R.A21D.07","TCGA.ER.A19M.06A.61R.A239.07","TCGA.FR.A3YN.06A.11R.A239.07","TCGA.FR.A44A.06A.11R.A24X.07","TCGA.FR.A7U8.06A.21R.A352.07","TCGA.FW.A3R5.06A.11R.A239.07","TCGA.FW.A3TV.06A.11R.A239.07","TCGA.GF.A3OT.06A.23R.A239.07","TCGA.GN.A4U3.06A.11R.A32P.07","TCGA.GN.A4U4.06A.11R.A32P.07","TCGA.GN.A4U5.01A.11R.A32P.07","TCGA.GN.A4U9.06A.11R.A32P.07","TCGA.GN.A8LN.01A.11R.A37K.07","TCGA.HR.A2OH.06A.11R.A18U.07","TCGA.QB.AA9O.06A.11R.A39D.07","TCGA.W3.A825.06A.11R.A352.07","TCGA.W3.AA1Q.06A.11R.A38C.07","TCGA.W3.AA1R.06A.11R.A39D.07","TCGA.W3.AA1W.06A.11R.A38C.07","TCGA.WE.AAA0.06A.11R.A38C.07","TCGA.YG.AA3O.06A.11R.A38C.07"
"ENSG00000011465.18",98,5327,2079,18469,28028,742,577,3155,4311,1933,16732,2167,7179,679,9301,3724,13483,1122,1235,5173,2814,908,2271,1390,2324,3489,409,1200,1142,5171
"ENSG00000021355.13",3712,5436,6890,2597,1287,2248,625,5016,2254,5671,5156,4685,9587,4607,2158,4401,3415,2877,7010,7730,1197,3634,6416,2782,2402,2339,4456,5748,4606,1504
"ENSG00000038427.16",29985,3664,42191,6660,13147,7462,408,918,60996,332,10672,1221,3744,932,5687,5163,50188,447,1445,1414,15516,7572,2787,433,43512,1249,489,940,730,5256
"ENSG00000041982.16",576,127468,39532,37632,996,71687,4246,26709,7960,10905,27124,68751,111175,2567,59531,5394,41790,16523,8671,80372,6010,23780,19010,8634,23309,13653,17490,24749,68579,1411
"ENSG00000049323.16",1393,399,1526,1046,788,222,352,1853,2290,47,2832,153,1374,481,877,1544,56734,113,102,1696,1046,3382,454,374,1661,182,251,813,263,1314
"ENSG00000049540.18",873,621,38,7500,1176,759,1215,158,1219,81,115,108,77,31,557,346,54,52,1170,234,431,148,25,77,3105,189,206,48,304,181
"ENSG00000055955.17",29,2,2,17,1,0,2,3,4,11,3,5,2,4,0,3,3,2,0,19,4,7,2,2,11,1,3,9,12,3
"ENSG00000055957.11",281,1,2,287,8,0,3,1,2,4,1,4,7,0,7,3,2,2,0,2,2,0,4,0,3,0,8,7,8,3
"ENSG00000060718.22",30,2532,376,1982,9851,90,1,530,233,1,9336,16056,1479,10011,2723,2262,2537,151,20,99,72,21995,42,285,8950,83,177,7,13639,1842
"ENSG00000074695.6",11502,10635,17038,4990,2573,2219,1825,24425,11562,8755,10756,15533,9956,1897,7261,15315,20178,8969,5342,5698,5885,4835,12667,1788,7348,5399,13055,4757,7986,11517
"ENSG00000077942.19",226,21844,2907,7170,42778,1547,9506,1152,4306,945,8239,511,3036,2577,2949,722,2597,5476,2082,2984,7358,2253,1714,1470,11968,1580,165,885,1460,5014
"ENSG00000080573.7",467,387,8380,7744,9278,1006,305,1975,2980,298,4164,164,1931,2545,4612,4104,78759,243,390,2441,663,1803,2493,1315,21130,305,337,417,1072,6516
"ENSG00000083444.17",9396,36077,28802,12945,11825,24332,12733,32989,13564,25378,19840,37457,40252,8780,13076,22880,64388,18210,20851,11882,9186,9869,28927,8472,19570,12869,17907,14640,36622,21464
"ENSG00000087245.13",991,1458,1751,14542,147986,9729,942,4159,12168,326,21813,2789,7930,2713,38341,4543,35133,175,439,8880,13530,7118,1033,7447,42122,1479,850,350,1040,4293
"ENSG00000087303.18",629,319,1697,647,2166,411,182,180,1068,336,1115,209,507,301,1152,992,6371,67,258,158,416,254,475,17,1689,212,43,187,245,743
"ENSG00000090006.18",332,4137,8334,5377,2921,16752,15542,2722,5345,12159,1549,3057,2478,8155,3225,5932,6278,2041,3788,3244,6877,8392,2280,2454,8427,4107,4176,2001,3532,10908
"ENSG00000091136.15",7826,6110,63868,9098,5259,13421,4028,11195,23103,15762,19228,17513,8512,8141,26321,24007,55418,10096,13187,15451,61211,30459,8762,1731,19268,11446,12188,8481,4066,19699
"ENSG00000100097.12",3974,72743,58032,115882,47773,88367,25016,22078,12904,30819,39064,45993,37890,19650,67635,61869,113080,23870,12581,31151,10561,20991,47904,17907,13728,4192,43580,25439,82266,64635
"ENSG00000100448.4",0,35,1,787,47,2,5,56,48,1,50,368,222,1,21,57,24,1,10,113,1,5,111,0,1,4,0,1,20,1
"ENSG00000100985.7",149,631,2676,1544,47640,213,888,428,9308,278,4219,478,15687,8920,1548,1565,8309,693,220,990,1423,1269,9612,2002,11806,447,559,8166,2212,306
"ENSG00000101160.14",14768,32820,21994,43859,61795,10778,29479,105163,13190,17679,32939,50933,62122,14011,20526,66628,18885,10217,1280,16454,4623,19424,47879,36944,13741,5933,132490,27038,73916,3248
"ENSG00000101825.8",365,417,3362,4604,33251,444,269,1244,3356,215,9520,946,10333,702,6000,1836,7200,64,173,2399,2022,309,2572,437,3894,478,395,285,521,2821
"ENSG00000101955.15",79,19464,10669,5293,1636,6501,675,2891,7032,9745,4756,8021,6198,3077,2568,15014,34210,5295,2351,9724,1021,21499,450,7192,2137,10935,10477,8302,12658,8635
"ENSG00000105664.11",20,416,34,29963,80,1115,34,330,2761,3,1792,194,15,293,1818,160,811,6,18,418,37,245,69,262,208,97,282,5,32,615
"ENSG00000106333.13",280,7295,19805,4073,15976,837,1274,1389,7373,243,2908,819,2916,4359,2299,1064,36931,674,832,6816,24091,1338,1282,7877,12807,892,1111,1400,993,1581
"ENSG00000106397.12",8444,36976,60822,27927,6116,29834,36077,44324,19271,11837,20808,59123,23521,18808,17096,40271,22736,18260,18340,28576,17354,25818,45100,23890,11891,18146,37218,16833,15761,102275
"ENSG00000106483.12",291,776,130,19876,10892,357,38,62,1219,94,2182,300,269,47,2077,617,627,106,49,145,36,33,246,106,343,1256,53,47,65,2523
"ENSG00000106624.11",36625,60131,102702,27505,91068,197881,41718,32578,135333,26883,82499,669886,71473,25271,9133,106259,74688,73454,40707,213267,13917,122121,85014,29715,17522,40352,76765,19474,160444,19348
"ENSG00000106809.11",31,8,15,339,382,4,8,9,124,8,49,1,2,2,133,5,6,27,13,3,8,8,5,4,16,14,5,7,2,15
"ENSG00000106819.13",78,265,111,2086,2721,102,51,171,360,268,3818,38,33,65,2075,433,60,27,88,105,84,69,7,91,422,27,37,5,67,261
"ENSG00000106927.12",8,0,1,893,3,1,9,1,5,4,2,2,6,6,1,2,0,3,12,3,5,1,3,1,7,3,30,2,1,5
"ENSG00000107562.16",777,6731,1619,4665,19794,913,2039,1039,2262,1997,8647,1960,19094,563,3772,7575,1059,972,1898,2621,858,850,7574,801,1276,2283,796,3847,1565,5028
