"","TCGA-DA-A3F2-06A-11R-A20F-07","TCGA-EE-A2GS-06A-12R-A18S-07","TCGA-EE-A3JI-06A-11R-A21D-07","TCGA-FR-A3YN-06A-11R-A239-07","TCGA-GF-A3OT-06A-23R-A239-07","TCGA-GN-A4U4-06A-11R-A32P-07","TCGA-GN-A4U9-06A-11R-A32P-07","TCGA-GN-A8LK-06A-11R-A37K-07","TCGA-GN-A8LN-01A-11R-A37K-07","TCGA-QB-AA9O-06A-11R-A39D-07","TCGA-WE-A8K5-06A-11R-A37K-07","TCGA-WE-A8ZN-06A-11R-A37K-07","TCGA-WE-AAA0-06A-11R-A38C-07"
"ENSG00000161647.19",30,108,237,408,395,291,530,244,208,38,113,88,88
"ENSG00000161649.13",6,182,30,6,3,25,1,26,4,0,8,191,0
"ENSG00000161652.12",0,19,1,0,0,0,10,0,0,0,1,9,0
"ENSG00000161653.11",61,197,355,314,2216,146,128,221,158,116,119,118,168
"ENSG00000161654.10",137,860,993,936,955,614,692,440,306,151,219,149,491
"ENSG00000161664.7",17,56,86,79,19,68,71,22,89,15,42,17,67
"ENSG00000161671.17",4116,12069,2570,9603,5828,6469,4506,8639,8559,7505,5834,6174,14979
"ENSG00000161677.12",1419,3088,1603,1409,1834,1166,622,2378,1934,1172,1930,1843,2638
"ENSG00000161681.16",171,160,165,15,4067,13,686,256,134,85,20,154,10
"ENSG00000161682.15",247,290,407,23,608,82,2104,410,59,42,140,121,25
"ENSG00000161692.18",244,1251,1611,1669,692,1083,1613,1558,688,479,517,490,999
"ENSG00000161714.12",852,482,2032,1314,3393,756,756,1143,1236,813,856,1522,1350
"ENSG00000161791.14",4276,7284,5259,3848,12788,3476,4441,832,3552,1464,3443,1490,4133
"ENSG00000161798.7",5,70,3,3,1,2,1,124,44,17,1,60,2
"ENSG00000161800.13",367,3689,3415,1688,4148,2655,3659,1039,1932,790,4336,812,2827
"ENSG00000161807.3",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000161813.22",207,2962,6638,5961,3409,4491,3265,1211,2430,1087,3540,507,3537
"ENSG00000161835.11",301,1563,698,1317,408,2080,730,208,1185,635,3176,298,1138
"ENSG00000161847.14",1238,2601,2221,2157,1747,1531,1231,2373,2147,253,1431,589,1892
"ENSG00000161849.3",0,7,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000161850.3",1,0,0,0,9,0,0,0,0,0,0,0,0
"ENSG00000161860.8",2,31,36,21,3,75,85,37,70,56,109,32,29
"ENSG00000161888.11",151,1428,1229,319,723,692,2149,974,878,581,2753,1551,857
"ENSG00000161896.12",3,104,9,432,4,1,4,1036,19,4,104,1,0
"ENSG00000161904.12",1362,4286,5096,3305,3826,1721,5987,6185,4395,3009,3735,1803,2691
"ENSG00000161905.13",9,386,3,1,1,10,3,0,11,1,0,0,8
"ENSG00000161911.11",42,7,11,16,9,4,1,0,47,29,26,66,28
"ENSG00000161912.18",7,121,715,198,110,178,624,143,879,102,284,59,244
"ENSG00000161914.10",207,244,344,263,195,181,412,506,542,351,318,284,437
"ENSG00000161920.11",326,471,368,259,266,513,225,544,240,226,431,348,260
"ENSG00000161921.17",11829,1178,1084,2611,2400,1073,780,1136,1262,517,987,1106,649
"ENSG00000161929.15",639,169,241,155,236,85,113,4,127,123,117,81,207
"ENSG00000161939.19",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000161940.11",703,492,138,92,926,133,548,106,106,79,405,596,219
"ENSG00000161944.16",166,14,31,16,25,13,21,2,15,15,16,26,6
"ENSG00000161955.16",650,792,464,244,164,144,99,77,546,92,680,34,122
"ENSG00000161956.13",280,1395,1134,534,788,827,687,1126,814,369,924,425,542
"ENSG00000161958.11",5,0,3,2,3,4,23,2,13,0,3,1,7
"ENSG00000161960.16",6,66,269,129,61,287,241,60,401,25,203,48,96
"ENSG00000161970.15",143,1565,1983,510,1070,4938,2919,956,1453,1227,3056,1041,1067
"ENSG00000161973.11",9,2,3,4,0,6,19,0,1,0,2,2,2
"ENSG00000161980.6",370,1955,701,729,995,1502,1142,1621,1045,976,1146,601,1177
