"","TCGA-DA-A3F2-06A-11R-A20F-07","TCGA-EE-A2GS-06A-12R-A18S-07","TCGA-EE-A3JI-06A-11R-A21D-07","TCGA-FR-A3YN-06A-11R-A239-07","TCGA-GF-A3OT-06A-23R-A239-07","TCGA-GN-A4U4-06A-11R-A32P-07","TCGA-GN-A4U9-06A-11R-A32P-07","TCGA-GN-A8LK-06A-11R-A37K-07","TCGA-GN-A8LN-01A-11R-A37K-07","TCGA-QB-AA9O-06A-11R-A39D-07","TCGA-WE-A8K5-06A-11R-A37K-07","TCGA-WE-A8ZN-06A-11R-A37K-07","TCGA-WE-AAA0-06A-11R-A38C-07"
"ENSG00000000003.15",207,5482,35,4660,1789,2466,6420,1610,2196,506,2439,834,1222
"ENSG00000000005.6",1,1,2,1,1,5,2,2,0,0,2,21,0
"ENSG00000000419.13",200,1168,2301,2080,1977,1590,4174,733,2401,998,1328,312,1471
"ENSG00000000457.14",111,1023,1314,1552,523,1176,1194,365,741,123,866,119,701
"ENSG00000000460.17",46,1347,643,838,466,619,2197,546,456,80,865,88,595
"ENSG00000000938.13",3281,297,190,205,474,88,450,30,286,275,271,970,315
"ENSG00000000971.16",1181,12339,514,3972,2240,951,4458,80,348,207,2478,582,1732
"ENSG00000001036.14",1643,2899,2169,4916,4668,972,1221,4392,1658,1859,3053,1907,3621
"ENSG00000001084.13",335,1267,919,1408,2075,757,4104,527,1707,283,1163,311,1671
"ENSG00000001167.14",269,4151,4446,2241,2812,1352,6726,1672,2526,1061,2864,427,1779
"ENSG00000001460.18",166,1236,5703,1367,1084,1271,566,1053,712,309,562,466,2394
"ENSG00000001461.17",663,5798,10552,17146,2348,1556,809,1515,4131,2392,1558,686,9136
"ENSG00000001497.18",1203,9225,4773,4203,2032,3310,4855,3078,3865,2260,3346,2149,3542
"ENSG00000001561.7",44,859,54,2064,88,53,723,86,47,32,48,91,973
"ENSG00000001617.12",687,1097,282,243,1938,259,1410,838,283,639,476,947,609
"ENSG00000001626.16",2,10,3,13,5,4,136,5,26,11,12,11,24
"ENSG00000001629.10",240,2838,5187,7190,5101,3007,4817,1303,4013,970,2950,457,2014
"ENSG00000001630.17",7,81,681,391,285,2,38,97,70,11,77,9,127
"ENSG00000001631.16",13,357,584,557,195,292,784,232,445,332,501,59,194
"ENSG00000002016.18",46,641,1522,682,300,943,626,278,795,151,460,180,363
"ENSG00000002079.14",4,1,4,16,126,2,8,1,3,1,15,1,1
"ENSG00000002330.14",408,831,501,312,573,247,338,1074,699,459,445,442,717
"ENSG00000002549.12",1440,12834,12783,11622,7859,5071,3780,2641,4341,1553,8429,1880,10063
"ENSG00000002586.20",24536,27983,14897,30922,7422,17515,8340,25047,10714,4990,26215,13456,19931
"ENSG00000002586.20_PAR_Y",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000002587.10",270,465,624,766,333,308,49,586,331,80,88,303,161
"ENSG00000002726.21",91,25,10,23,6,2,10,1,6,6,24,36,41
"ENSG00000002745.13",4,31,8,16,0,5,25,2,22,2,10,1,17
"ENSG00000002746.15",7,64,1,96,7,0,6,0,5,6,3,3,1
"ENSG00000002822.15",154,597,178,1392,656,327,34,2417,124,220,210,655,1256
"ENSG00000002834.18",15775,16798,16122,26822,24212,13562,9899,8776,8171,3394,13442,8295,14356
"ENSG00000002919.15",1099,1573,2610,4054,1334,1236,1165,1436,1004,679,1347,822,2963
"ENSG00000002933.9",7841,507,304,1067,1515,212,559,76,386,718,1222,550,853
"ENSG00000003056.8",2531,6340,9755,8157,5477,7608,3085,4920,5363,1209,3353,809,4596
"ENSG00000003096.14",22,927,17,706,11,4893,2421,53,38,2,122,15,9
"ENSG00000003137.8",353,706,484,48,3724,57,1107,277,476,136,1397,116,126
"ENSG00000003147.19",147,1365,1867,1170,66,970,162,631,1366,391,1023,451,850
"ENSG00000003249.15",61,827,4564,4621,51,2377,444,2337,3067,4148,3956,3062,19996
"ENSG00000003393.15",216,2579,6216,4780,2989,3149,2002,1143,1453,713,1764,354,2642
"ENSG00000003400.15",888,1110,899,926,240,145,169,56,357,344,201,236,746
"ENSG00000003402.20",1894,3853,7582,5247,4976,3549,1999,1098,2997,1358,2829,1063,3277
"ENSG00000003436.16",247,920,454,2200,2203,349,548,156,370,90,219,159,961
"ENSG00000003509.16",66,593,1575,1162,457,863,1090,494,831,554,728,119,1124
"ENSG00000003756.17",668,5789,9270,3575,2073,5494,3496,2102,5202,824,5644,1450,4744
"ENSG00000003987.14",6,45,145,118,86,51,138,35,111,18,80,17,35
"ENSG00000003989.18",239,404,138,131,97,134,105,1551,43,27,129,66,116
"ENSG00000004059.11",3483,4674,3226,4992,3373,2848,7047,8380,4366,4242,12326,6909,5455
"ENSG00000004139.14",209,515,801,1295,288,84,540,109,530,78,465,157,243
"ENSG00000004142.12",3537,10587,9435,12821,8083,7002,5835,6396,5759,4512,7938,4960,6954
"ENSG00000004399.13",14976,11314,2106,19278,16356,23223,4285,1777,8921,2434,13033,4370,4040
"ENSG00000004455.17",1693,11732,20149,19098,7740,13924,7365,18680,5222,3616,8624,5979,19970
"ENSG00000004468.13",1926,582,542,356,501,117,224,8,201,352,208,226,378
"ENSG00000004478.8",1481,8256,13923,7682,8235,7906,8992,8916,4957,2677,7158,2089,5272
"ENSG00000004487.17",1339,8226,7218,10365,9991,7551,13734,13196,3210,3435,5083,1787,44820
"ENSG00000004534.15",764,4527,11709,3224,3387,3687,6915,2694,5541,1495,7222,1763,4994
"ENSG00000004660.15",369,311,858,686,764,474,308,951,435,66,461,337,1020
"ENSG00000004700.16",104,2023,3304,1809,3926,1356,1060,445,1104,232,1192,106,1915
"ENSG00000004766.17",108,1596,2716,3440,1050,1659,2890,620,1168,601,1521,172,755
"ENSG00000004776.13",64,590,10,70,14,28,24,28,317,99,17,185,22
"ENSG00000004777.18",111,327,1240,343,722,377,1810,690,742,121,650,368,371
"ENSG00000004779.10",606,3758,1737,2152,2516,3041,3589,3419,2983,1724,3238,1163,3818
"ENSG00000004799.8",190,2707,1366,5573,423,2657,448,151,3398,23,27,2271,411
"ENSG00000004809.14",1,33,21,1,3,1,0,1,7,2,2,0,11
"ENSG00000004838.14",16,22,55,35,15,19,94,76,82,25,39,54,52
"ENSG00000004846.16",103,1627,8209,492,0,9,7,857,1340,3671,6690,24,518
"ENSG00000004848.8",0,4,0,0,0,9,213,134,5,319,9,12,104
"ENSG00000004864.14",307,11371,6189,11205,2939,7250,4616,4996,3544,1843,5887,810,2128
"ENSG00000004866.22",467,3012,2076,3840,1097,3678,2698,5548,1478,1745,1940,1701,2062
"ENSG00000004897.12",513,6424,9243,10814,6575,3067,3757,2194,2505,1249,3415,725,2736
"ENSG00000004939.15",5,0,3,0,1,3,6,5,2,0,1,0,0
"ENSG00000004948.16",4,97,11,48,3,27,6,1,5,6,15,49,0
"ENSG00000004961.15",368,3218,2351,1648,1995,1107,1387,1647,952,459,1754,396,1669
"ENSG00000004975.12",1120,4972,7023,3379,3066,5485,2912,5901,3524,1435,4877,1540,2314
"ENSG00000005001.10",1,1,2,1,327,1,0,2,5,531,5,4,2
"ENSG00000005007.13",4165,14382,15014,10566,5137,9161,5986,7133,5884,3237,7961,3295,7658
"ENSG00000005020.13",412,3211,2735,8230,4410,2113,2186,1281,1955,1530,3581,274,363
"ENSG00000005022.6",5085,27174,31057,19198,11860,57394,18888,16550,12500,6637,39311,7214,14881
"ENSG00000005059.16",280,729,191,960,1270,160,429,96,696,531,322,326,1230
"ENSG00000005073.6",61,346,2,128,133,61,2760,130,37,106,673,71,6
"ENSG00000005075.15",1304,2771,1588,3189,1910,1412,3636,4654,2263,2088,2687,2998,1149
"ENSG00000005100.13",240,4404,4268,6039,2187,4788,2822,4948,2859,1167,2463,2331,1532
"ENSG00000005102.14",83,713,84,69,49,65,90,1,45,8,63,348,79
"ENSG00000005108.16",68,322,63,219,111,58,2238,5,24,4,99,36,53
"ENSG00000005156.12",509,4094,3623,6799,1978,1133,2387,3692,1103,745,2761,599,1499
"ENSG00000005175.10",116,2847,2486,1786,2477,2375,2446,393,1245,619,1605,187,1659
"ENSG00000005187.12",35,77,66,41,28,17,31,3,93,22,27,6,125
"ENSG00000005189.20",33,272,272,300,185,302,362,260,294,152,346,191,221
"ENSG00000005194.15",984,6351,3090,3713,3144,4884,3505,3667,3397,1382,4026,1524,4645
"ENSG00000005206.17",1113,3554,2705,2112,1421,2899,3331,1649,5597,1072,4352,1337,2245
"ENSG00000005238.20",1111,1009,2062,1468,5394,1571,548,1063,1236,1972,1554,964,5555
"ENSG00000005243.10",1568,2891,62,3379,1146,284,273,1043,457,414,1676,740,859
"ENSG00000005249.13",24,341,912,1641,1000,327,1714,138,869,415,498,68,809
"ENSG00000005302.19",403,4388,2967,2482,2508,1192,2153,696,1768,420,1551,412,1907
"ENSG00000005339.15",3222,11889,8132,10340,5316,7564,8189,3926,5252,1657,3984,1516,6714
"ENSG00000005379.17",143,417,14,191,273,371,414,4,1118,87,289,68,319
"ENSG00000005381.8",65,16,10,8,12,3,15,0,4,3,4,6,3
"ENSG00000005421.9",0,15,1,3,0,0,2,0,4,2,0,0,14
"ENSG00000005436.14",68,1441,2797,1151,764,1316,1547,465,1201,367,1187,191,941
"ENSG00000005448.17",630,1519,576,1488,2951,627,2458,1991,812,628,335,1247,1415
"ENSG00000005469.12",144,995,716,4543,633,476,2471,687,654,383,1064,197,470
"ENSG00000005471.19",69,27,26,1992,51,22,695,219,756,475,189,2326,197
"ENSG00000005483.21",1004,6647,11598,8660,3854,5864,7869,2302,5424,1835,4348,986,2646
"ENSG00000005486.17",3503,4409,4398,11172,5553,4290,11394,8181,3976,4939,8627,4516,3084
"ENSG00000005513.10",8,1707,1729,212,8,1264,309,290,512,5745,6339,54,306
"ENSG00000005700.15",301,4202,5638,3610,5739,2722,877,1133,2774,1150,3505,448,3487
"ENSG00000005801.18",91,1518,1103,417,682,881,3271,530,1397,686,1204,261,921
"ENSG00000005810.18",1079,4438,12520,5229,3259,4021,2631,1954,2731,681,2571,470,5910
"ENSG00000005812.11",170,1966,4408,1001,2652,1490,1337,316,2550,431,1661,304,1900
"ENSG00000005844.19",9273,424,776,1562,1019,401,469,48,300,849,920,1789,1187
"ENSG00000005882.12",1004,1251,3098,3190,588,957,564,2520,710,383,1180,664,1543
"ENSG00000005884.18",1586,3832,61461,40807,132091,11838,2151,9595,13649,22190,14351,4508,114395
"ENSG00000005889.16",125,7601,5113,2300,1513,1784,2361,588,1571,420,1509,284,1673
"ENSG00000005893.16",3812,22970,39438,55179,12208,5082,5889,13400,16182,4567,14267,3235,22612
"ENSG00000005961.19",22,88,21,10,34,28,340,28,22,7,20,9,3
"ENSG00000005981.13",16,752,53,24,0,7,0,4032,14,2212,0,1,34
"ENSG00000006007.12",1075,3754,3829,4013,4099,2339,2438,2209,2550,1608,1893,1027,3114
"ENSG00000006015.18",1341,1990,2243,1205,968,1550,665,3823,1418,1690,1976,1582,2453
"ENSG00000006016.11",5,40,529,0,117,11,26,21,109,852,35,185,27
"ENSG00000006025.12",745,524,1728,810,303,1030,891,555,1221,187,1034,713,578
"ENSG00000006042.12",1520,17806,3937,28131,641,19038,5900,4991,7198,3177,6583,2665,4791
"ENSG00000006047.13",1,83,4,3,11,109,822,123,23,8,59,6,11
"ENSG00000006059.4",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000006062.17",1029,761,2552,1927,449,1056,906,1021,911,221,688,607,1087
"ENSG00000006071.15",8,3,1,0,0,2,16,0,1,2,0,2,0
"ENSG00000006116.4",0,1,0,0,0,0,0,0,0,4,0,1,1
"ENSG00000006118.15",1113,550,1487,266,10513,116,5488,447,5567,462,2092,416,532
"ENSG00000006125.18",5011,23040,27590,50243,16569,17455,12290,12928,12996,7060,12343,7051,18517
"ENSG00000006128.12",0,6,0,0,0,0,16549,1,0,0,24,0,0
"ENSG00000006194.10",486,2642,1951,2033,1336,467,3202,1787,2583,945,1858,829,1492
"ENSG00000006210.7",1393,2234,1064,2764,333,6427,602,1252,2829,2302,6030,2734,2523
"ENSG00000006282.21",4044,3773,6601,14320,3532,6594,1652,4227,3914,1683,11383,4800,2439
"ENSG00000006283.18",50,7,4,5,20,2,2162,3,9,2,78,6,7
"ENSG00000006327.14",407,192,1327,2289,18122,283,955,2212,3505,2238,1717,2998,6512
"ENSG00000006377.11",0,242,1837,25,1,20,2674,13,46,53,13,4,11
"ENSG00000006432.15",172,223,868,614,17,14,663,882,183,248,43,274,389
"ENSG00000006451.8",963,4270,4667,4059,6151,3504,9361,2817,4763,2837,5525,1446,4375
"ENSG00000006453.14",137,317,1883,2826,1569,608,1507,3694,535,1970,1259,53,942
"ENSG00000006459.11",193,652,2140,1855,1450,1425,3711,597,1256,424,1897,172,772
"ENSG00000006468.14",136,9846,74,7845,1790,6525,6149,1387,6514,911,5072,495,4989
"ENSG00000006530.18",294,2712,1934,2981,1814,2017,3876,1417,2319,916,2214,704,1615
"ENSG00000006534.16",4412,721,839,2173,1627,1353,192,990,864,437,972,2347,2787
"ENSG00000006555.11",118,10,8,21,14,12,4,1,2,13,17,16,25
"ENSG00000006576.16",113,2396,4831,3874,3929,4330,3751,752,2225,716,1923,233,1407
"ENSG00000006606.9",17,9,0,1,51,6,4,7,0,5,5,11,13
"ENSG00000006607.14",483,10906,20102,35359,2800,15039,1978,6611,5593,3273,3988,3032,5845
"ENSG00000006611.17",0,2,0,0,2,0,7,0,6,0,3,11,2
"ENSG00000006625.18",169,1466,1072,1154,858,1016,2756,1320,1179,1609,3231,913,1426
"ENSG00000006634.8",56,1180,1369,673,1197,835,3746,482,575,565,2153,163,495
"ENSG00000006638.13",251,2126,584,30,1131,1741,183,43,252,513,137,91,80
"ENSG00000006652.15",27,308,1489,439,388,534,985,387,661,588,1005,115,536
"ENSG00000006659.13",0,0,0,0,0,0,0,0,0,1,0,0,1
"ENSG00000006695.12",323,1406,1714,920,1523,1371,825,1457,1046,372,837,446,634
"ENSG00000006704.11",524,1093,6460,1746,3005,2752,5403,1624,1599,827,3279,1075,1086
"ENSG00000006712.15",2403,12050,6130,4574,5132,3778,4133,6210,3194,2884,3381,2714,5111
"ENSG00000006715.16",519,7532,7939,11771,3012,7521,7213,2665,5041,1505,4899,707,3037
"ENSG00000006740.17",111,40,28,17,166,23,51,40,28,16,49,56,49
"ENSG00000006744.19",2156,10467,6591,4692,5491,5302,2033,7288,3601,2522,7585,2567,3866
"ENSG00000006747.15",175,7882,170,344,163,16668,26,4306,606,31,378,23,409
"ENSG00000006756.16",645,4064,1097,3421,1168,1483,646,1049,1661,201,2458,738,2020
"ENSG00000006757.12",185,4090,1457,1568,478,1113,1055,1291,995,385,802,501,943
"ENSG00000006788.14",3,204,1,0,8,5,95,2,194,109,3,2,0
"ENSG00000006831.10",1327,8960,28504,12771,10070,11975,3882,7766,6692,2947,9183,2692,16596
"ENSG00000006837.12",5,26,20,48,19,39,119,15,38,13,23,5,32
"ENSG00000007001.13",1,0,18,5,1,0,10,1,4,3,8,0,1
"ENSG00000007038.11",45,901,0,34,67,15,23,0,1,1495,2,2,8
"ENSG00000007047.15",1934,4290,5357,2234,2864,5673,3070,3650,2819,1984,1906,1954,3044
"ENSG00000007062.12",9,353,97,75,4,122,4,135,103,980,29,43,58
"ENSG00000007080.11",3099,6038,3976,4372,3387,3427,3408,9446,3474,4253,4176,6073,5515
"ENSG00000007129.18",305,148,81,69,43,1080,30,0,35,26,71,52,93
"ENSG00000007168.14",1374,8695,15466,6938,9301,6753,3923,3510,5008,2451,6982,1556,5200
"ENSG00000007171.18",21,87,23,25,59,21,460,41,24,8,22,16,30
"ENSG00000007174.18",1,164,4,11,2,1,74,38,138,1,3,25,3
"ENSG00000007202.15",3065,12693,15111,15797,9205,7450,5725,5017,6851,3970,7402,3302,8046
"ENSG00000007216.15",0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000007237.19",5729,62122,59700,34773,1163,25227,915,4864,36452,4066,23393,3769,9757
"ENSG00000007255.10",1024,2121,1323,901,152,1228,346,1224,1071,767,1160,1898,1042
"ENSG00000007264.15",1442,72,23,82,110,36,39,304,50,371,106,225,132
"ENSG00000007306.15",0,0,0,0,0,0,1,0,0,0,2,2,1
"ENSG00000007312.13",1144,705,93,111,23,84,25,31,55,125,36,125,632
"ENSG00000007314.12",57,205,17,6,6,44,258,14,1,7,54,66,18
"ENSG00000007341.19",95,1016,1329,2034,580,621,763,207,813,278,628,305,847
"ENSG00000007350.17",20,282,119,14,2,129,14888,50,3,14,776,2,1023
"ENSG00000007372.24",0,100,1,1,8,0,65,38,269,7,3,34,5
"ENSG00000007376.8",1226,2184,1518,1041,2124,1343,1146,2372,1888,1949,1715,1554,2339
"ENSG00000007384.15",804,1911,2310,2958,2953,4224,1899,1478,4175,2067,3891,1224,6012
"ENSG00000007392.17",451,1887,2169,1552,1840,2822,7062,2358,5241,1175,3306,1728,2792
"ENSG00000007402.12",38,68,159,36,31,71,482,519,121,194,49,16,26
"ENSG00000007516.14",48,81,2244,43,47,1137,111,34,92,274,12,27,128
"ENSG00000007520.4",1632,2975,1604,1489,2234,1364,1306,3647,2159,1466,1671,1681,2896
"ENSG00000007541.17",1496,2535,1378,1570,2381,2270,1985,3382,2825,1877,2860,3156,3470
"ENSG00000007545.16",268,939,1198,545,789,996,754,572,1212,531,1034,510,968
"ENSG00000007866.22",548,1892,1610,703,2051,356,11288,2451,1433,593,856,307,133
"ENSG00000007908.16",37,130,6,42,313,11,81,5,59,5,82,90,100
"ENSG00000007923.16",625,2876,4211,5733,2603,4275,1709,4141,1150,394,1537,561,2288
"ENSG00000007933.13",93,28,171,39,24,42,15,10,80,3,114,106,81
"ENSG00000007944.15",686,9382,4075,4446,232,9116,2437,1467,3610,1495,4119,330,2688
"ENSG00000007952.18",1,53,87,108,39,19,127,44,56,32,50,33,27
"ENSG00000007968.7",696,599,1027,340,72,614,1739,725,196,366,1333,427,684
"ENSG00000008018.9",2488,5600,5693,6724,9395,2911,6043,10325,4335,4183,8971,5052,11215
"ENSG00000008056.14",34,20,87,21,38,7,57,7,23,18,12,15,26
"ENSG00000008083.14",740,5575,7713,3201,9342,6106,8107,4354,3180,2103,4368,1055,4899
"ENSG00000008086.13",184,2152,1754,1272,1444,776,2449,279,922,86,609,68,510
"ENSG00000008118.10",119,234,7,90,478,17,152,3965,28,15,57,15,29
"ENSG00000008128.23",4,48,27,94,24,145,113,117,144,19,50,51,49
"ENSG00000008130.15",2334,6164,5699,7968,5138,5182,3543,4128,2730,1424,3596,1442,4268
"ENSG00000008196.13",0,68,2,4,143,1,672,0,314,0,1,0,1
"ENSG00000008197.5",0,0,1,1,0,0,1,0,0,0,0,0,0
"ENSG00000008226.20",9,124,24,11,1,27,12,5,33,5,25,10,50
"ENSG00000008256.16",875,13967,9321,26144,2885,17238,4230,8219,15082,3322,9301,5428,13981
"ENSG00000008277.14",11,133,1834,304,57,32,2802,61,289,5,192,45,172
"ENSG00000008282.9",789,7933,9648,14718,6719,6237,6264,2551,5796,2048,7561,937,3715
"ENSG00000008283.16",1700,1820,1661,3662,1647,1616,2576,881,2061,1668,1752,899,4221
"ENSG00000008294.21",851,8282,23183,19298,5624,9939,4066,4841,5316,1829,6875,1468,10445
"ENSG00000008300.17",86,63,2407,571,1114,85,987,147,732,385,159,236,322
"ENSG00000008311.15",45,1158,2104,2236,194,2174,2365,344,3976,587,2343,362,1087
"ENSG00000008323.15",13,41,4,4,16,1,5,5,7,6,7,19,2
"ENSG00000008324.12",280,612,1450,869,739,835,877,678,960,627,794,574,868
"ENSG00000008382.16",805,650,846,315,392,730,295,1047,404,607,622,499,413
"ENSG00000008394.13",99,3160,13,1389,60,5,23,252,24,34,30,299,12
"ENSG00000008405.12",150,1897,1175,1108,1690,1123,2814,628,834,179,1037,216,1857
"ENSG00000008438.5",0,2,7,0,1,2,2,3,7,0,2,0,3
"ENSG00000008441.18",3855,8762,7507,7581,804,4439,4812,2322,5145,2265,8763,3265,7192
"ENSG00000008513.16",2619,13650,6117,4640,9270,19673,1660,1659,4096,4683,4776,1312,5622
"ENSG00000008516.17",136,52,23,34,855,19,84,45,50,56,64,143,73
"ENSG00000008517.18",5849,1136,506,1376,3721,300,1620,129,608,1111,1510,3362,1243
"ENSG00000008710.20",1943,2197,4652,2935,4221,2582,3629,1640,3381,511,2930,1228,3106
"ENSG00000008735.14",13,258,160,292,28,364,206,5893,309,2223,1933,264,2793
"ENSG00000008838.20",3527,8245,8927,9412,5241,6387,5154,6716,4629,2606,4870,4247,9185
"ENSG00000008853.17",1178,1515,2285,2491,2567,2481,2136,3373,2115,2424,2023,1026,1536
"ENSG00000008869.12",380,2519,6472,6369,2238,3092,1765,1367,1825,513,1754,456,1971
"ENSG00000008952.17",832,4276,12598,6967,6941,6659,3460,1840,5562,1984,4717,1112,6599
"ENSG00000008988.11",20877,58626,42232,32024,56029,69218,71642,35123,38543,34819,50954,52398,36710
"ENSG00000009307.16",7514,46789,69521,92697,34434,62352,24096,8729,31196,9576,18291,4829,51407
"ENSG00000009335.18",728,7555,8376,16069,11490,6320,4323,4756,5120,2238,8561,1068,9352
"ENSG00000009413.16",182,10081,12711,3702,1156,2885,413,1076,2138,475,4132,429,1994
"ENSG00000009694.13",2,106,2,6,3,8,54,1,44,0,7,11,43
"ENSG00000009709.12",0,13,1,0,0,1,1,1,0,1,0,0,0
"ENSG00000009724.17",2,20,188,149,6,35,61,8,79,1,51,14,85
"ENSG00000009765.15",0,1,0,1,0,1,0,1,3,0,1,4,0
"ENSG00000009780.16",73,609,1342,1404,545,435,824,424,291,272,526,180,1270
"ENSG00000009790.15",612,256,191,347,174,188,302,13,125,144,250,122,521
"ENSG00000009830.12",491,2282,2797,2268,3751,3534,3195,1781,1683,1194,3413,1171,2876
"ENSG00000009844.16",330,2110,4199,3503,4887,2013,2804,2233,1980,1012,2313,640,3383
"ENSG00000009950.16",7,3,208,4,27,10,157,7,214,30,21,26,3
"ENSG00000009954.11",1958,12101,11642,16937,10403,6930,19543,6913,5509,3304,9593,1918,3701
"ENSG00000010017.13",291,3247,21489,2636,2357,3149,5238,2092,2127,1091,3779,302,3188
"ENSG00000010030.14",227,345,97,499,152,94,47,36,489,512,486,696,231
"ENSG00000010072.16",66,1264,1116,1046,801,1250,1084,510,721,447,698,143,1098
"ENSG00000010165.20",1220,6954,4658,6780,3977,4957,5351,2281,3410,1414,4857,745,4373
"ENSG00000010219.13",407,1253,1064,716,733,606,1082,784,614,444,1241,813,678
"ENSG00000010244.19",1922,10347,12433,9083,7682,7880,9148,5454,7341,2968,11360,2411,8247
"ENSG00000010256.11",8144,17100,14910,7896,16095,10986,5054,35063,9415,7640,14718,19713,17793
"ENSG00000010270.14",310,2603,2677,4617,5103,2266,4120,1579,1416,861,2225,527,2377
"ENSG00000010278.15",3211,6093,5455,9187,677,13199,734,12700,2599,3230,8253,5355,20159
"ENSG00000010282.15",1,385,45,4071,0,48,1,1,1461,1,30,1,21
"ENSG00000010292.13",2698,12759,13259,4723,6993,6764,9888,7723,5011,1910,7514,2667,6373
"ENSG00000010295.20",1439,2464,4485,1660,1712,4153,2088,2479,2336,928,3208,1546,1508
"ENSG00000010310.9",29,8,17,27,6,127,79,32,13,7,11,80,42
"ENSG00000010318.21",69,250,269,409,125,336,216,299,203,142,287,99,473
"ENSG00000010319.7",1047,277,134,201,171,169,209,160,138,25,252,714,139
"ENSG00000010322.16",2790,10795,12474,4560,4011,7258,4862,3533,9373,1043,7428,2441,7118
"ENSG00000010327.10",4690,865,4169,2746,3163,947,2055,413,3866,938,1972,3155,1580
"ENSG00000010361.14",353,3067,2037,719,684,1066,1134,910,1614,924,649,911,1180
"ENSG00000010379.16",3,35,5,7,6,0,43,2,2,6,13,3,4
"ENSG00000010404.18",222,274,708,1242,547,245,478,222,286,55,192,62,443
"ENSG00000010438.17",2,4,0,1,1337,3,13,0,3,0,5,0,0
"ENSG00000010539.12",104,1277,979,508,531,355,1366,429,581,163,459,204,428
"ENSG00000010610.10",21275,3205,7971,3727,3421,615,1566,187,1815,1732,3046,2986,1869
"ENSG00000010626.15",170,871,531,1327,558,762,302,1456,564,356,335,663,725
"ENSG00000010671.16",1274,1547,384,328,303,255,223,112,580,179,272,255,549
"ENSG00000010704.18",158,1822,118,1578,1295,842,180,293,46,293,573,114,1110
"ENSG00000010803.16",773,3560,6293,3370,1454,3324,3303,2443,2931,475,2258,1245,1960
"ENSG00000010810.17",2227,8811,8693,12122,17579,4296,1257,7101,4631,4187,5183,3890,9341
"ENSG00000010818.10",555,1061,1656,2594,3844,1836,759,778,1199,1135,800,463,2853
"ENSG00000010932.17",1320,51,47,171,152,35,20,5,45,141,279,158,57
"ENSG00000011007.12",1028,5730,10570,11048,4139,4003,4134,4695,2112,1197,3137,945,5576
"ENSG00000011009.11",3225,5862,5662,10833,6626,7082,13097,7145,4344,3188,4691,3745,12967
"ENSG00000011021.23",560,1228,3863,4198,1253,3096,1446,1229,1168,488,1409,942,2085
"ENSG00000011028.14",23716,2110,347,558,41314,148,7488,213,2678,945,6681,3588,696
"ENSG00000011052.21",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000011083.9",4,0,3,0,12,2,3,0,1,1,9,3,1
"ENSG00000011105.14",2036,8646,4724,3754,7362,3507,2318,3430,4723,587,4550,2212,2410
"ENSG00000011114.15",418,2442,2308,2490,3377,1699,2324,682,1128,603,1530,436,1733
"ENSG00000011132.12",850,1260,1639,1248,1165,610,780,1009,893,606,976,740,1389
"ENSG00000011143.19",296,1969,1169,2202,800,1026,1749,1110,593,337,927,475,1784
"ENSG00000011198.10",179,1711,3415,1634,1693,1182,488,1176,1147,397,954,297,1409
"ENSG00000011201.12",141,120,24,162,9077,20,522,49,107,43,87,113,51
"ENSG00000011243.18",697,2154,2051,1999,1346,1127,2367,2467,1750,767,1958,1201,2075
"ENSG00000011258.16",99,1464,3300,1361,703,1358,3514,264,1658,308,972,228,1366
"ENSG00000011260.14",371,3022,5727,6539,3409,3708,2787,2262,1772,1171,3618,640,5329
"ENSG00000011275.19",1819,7246,6516,8664,4394,4167,7605,4309,3992,1582,5438,1345,3412
"ENSG00000011295.16",224,4359,4130,1482,1972,4310,734,1196,3752,659,4197,771,1506
"ENSG00000011304.22",9873,28439,20697,19375,23945,17478,27236,23250,14742,9138,17738,13303,23538
"ENSG00000011332.19",7,270,3,117,489,64,870,162,54,99,61,89,75
"ENSG00000011347.10",736,55,964,25,5910,120,155,218,32,27,448,7905,28
"ENSG00000011376.12",515,3787,3304,2780,3815,2210,1389,3003,1898,886,1583,654,1732
"ENSG00000011405.13",142,5186,13947,2620,2506,4766,2154,834,5499,652,1806,263,2653
"ENSG00000011422.12",4500,1041,324,1288,21722,208,1532,436,1627,5788,1060,986,3055
"ENSG00000011426.11",62,3458,4008,1999,8990,2375,5219,2746,2525,589,6054,496,2968
"ENSG00000011451.21",1937,6175,6986,3366,5739,3931,4953,5962,4810,2399,4388,2399,4471
"ENSG00000011454.18",592,1895,3668,4689,3368,3494,2794,1388,2235,712,2931,647,2616
"ENSG00000011465.18",28028,4311,1933,2167,13483,1235,2814,50,908,1390,11627,7282,1142
"ENSG00000011478.13",758,1232,2449,1688,676,1301,898,2592,1047,1303,931,2632,4606
"ENSG00000011485.15",1113,11483,8912,3623,4796,6440,4858,4552,3296,2304,3103,1838,3567
"ENSG00000011523.14",458,2691,3266,2198,1011,2024,1793,826,1395,671,1400,617,1378
"ENSG00000011566.15",86,1232,4600,2707,1918,3307,1740,881,1589,1356,1695,263,3909
"ENSG00000011590.14",242,51,19,60,20,33,25,4,48,29,11,28,37
"ENSG00000011600.12",25850,2352,3605,2216,2712,419,1338,338,1983,2871,2613,6192,1246
